keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Aufwind',-0.04875502688482163,1.112715884802173,0.2960451723909333,1.2767858882424388,53.0
'Blitzableiter',-0.14745834634906435,0.048280437121821666,-0.2528888778361078,0.047876209060496014,6.0
'Blitzeinschlag',0.04663411506611368,0.5045252054849869,-0.11874528574455132,0.47436793641176195,12.0
'Blitzschutz',3.7781861807681767,4.494634000589105,2.001160909408249,1.5572766924402373,3.0
'Brand durch Blitzeinschlag',0.0030943506153597745,0.1166240995545454,-0.2576351284302843,0.11335219612389347,9.0
'Dachschaden durch Hagel',-0.25126947500603214,0.1830337347236964,-0.31850870002109405,0.1407677649532116,8.0
'Gewitter',0.09764115965237483,1.3923807220202267,0.08592608430370333,1.1451527274458293,146.0
'Gewitterwarnung',-0.12696899946869,0.021537591822329807,-0.25875716382749436,0.06511447598838224,2.0
'Hagel',-0.07632778001529472,0.8676387029892861,0.015243558573792572,0.9784350509189049,127.0
'Hagelschaden am Auto',-0.22941573387056177,1.0,-0.22941573387056177,1.0,4.0
'Hagelsturm',-0.19477194383782442,0.048993717716303,-0.2292883182357952,0.0001801929187452425,2.0
'Stromausfall',-0.08513954861639562,0.4477969153059131,-0.08916438149029655,0.8397789151930048,125.0
'Superzelle',-0.2773500981126146,1.0,-0.2773500981126145,1.0,1.0
'Unwetter',0.03832524903403188,0.9345451550424279,-0.0012648644095504692,1.0323619819421879,197.0
'Unwetterwarnung',-0.01868886377735257,0.636728416523328,-0.21393915520388349,0.3088751740311963,52.0
'anvil clouds',0.054241071428571444,0.09438612838159721,0.3726190476190476,0.021044844678171082,2.0
'hail crop damage',-0.04605729725875701,0.47501255412257826,0.2723833003168175,1.033162706892672,6.0
'hail dented vehicles',-0.30936036251828164,0.7422023742352605,0.9033248910226473,0.8172343033589897,3.0
'hail freezing level',-0.20939696597516422,0.7494848230711733,-0.5072665432111856,0.5233772482436784,5.0
'hail hailstorm',0.6671843827324873,1.0,-1.0521792783820114,1.0,1.0
'hail impact resistant roofing',-0.024460900615701647,0.42152173053913816,-0.00452916887972347,1.0599440847473731,3.0
'hail insurance',-0.03406144544170206,0.8078163251658004,0.2699569057577632,0.9046906185445501,13.0
'hail nets',-0.4689911516311989,1.4060842849010236,0.6511174774855959,0.6801654293396628,5.0
'hail roof damage',0.14886974675484663,0.6223374222894904,0.1335450609768462,0.7783635680079646,16.0
'hail strong updrafts',0.3207477270583444,0.31916767440265287,0.20279578815940988,0.8217763518464478,5.0
'hail supercells',-0.055602890850943866,0.8855693713356932,0.0028802294628256864,0.9395789034582633,14.0
'hail swath',0.2423672417365664,1.0472053147624263,-0.2485915801288403,0.6217169322726833,6.0
'hail vehicle shelters',-0.2297130277185378,0.9463804943268614,-1.1511005458338985,0.5682246836444371,2.0
'hailstorm',-0.07054081534320182,1.0804652882477597,0.20409379157528743,0.942029291483002,33.0
'large hail',0.10632267589827459,0.8591282876318611,0.4879995616147509,0.47444008966894485,11.0
'lightning and thunder',0.1345423540438786,0.722895009225248,0.250721791894512,0.7759707621559215,40.0
'lightning fire',0.40797406805403086,0.45749759906545945,0.20842403567300885,0.5113465286039538,9.0
'lightning rod',-0.05141964478284837,0.8369025701036963,-0.06670522848105341,0.8459593101130461,51.0
'thunderstorm building codes',0.24601518956699542,0.9252362573479601,0.29581254378019406,0.7276561722145806,30.0
'thunderstorm cell',0.524205730449819,0.5200768342993575,-0.07025369073284012,0.9039014146107853,3.0
'thunderstorm convection',-0.0691420595893808,0.7634672408693394,1.0876669661995528,0.824614572411017,3.0
'thunderstorm early warning',-0.15007208521897178,0.631912059806099,0.16166636233747542,0.8616102178090572,10.0
'thunderstorm flood barriers',-0.8743515481601728,0.7658410763224748,0.20229825896077622,0.4827459780317344,3.0
'thunderstorm flooding',-0.19653054920089447,0.6652239155646195,-0.05983861719977339,0.9456827395447481,29.0
'thunderstorm lightning',-0.3029531516007793,0.8416663360857366,-0.1688593287994352,0.8373074046682123,36.0
'thunderstorm low pressure',-0.022202551244831878,0.6531933775481665,0.2848890041618635,0.5722922139719858,11.0
'thunderstorm power outages',-0.26074483756529404,0.8538333019469797,-0.023126325274185313,0.6965034475282296,15.0
'thunderstorm squall line',-0.7486091687740629,0.7926592254037904,0.2808495232264851,0.8299603396477772,3.0
'thunderstorm tornado',-0.037020100372009514,0.8164579931263745,0.17457080198236133,0.7079444694001383,12.0
'thunderstorm warning',0.11285236236009617,1.0023647688547876,0.03073838399143379,0.9000124871177737,39.0
'thunderstorm wind damage',0.3784520089277381,0.9172471362125719,0.867168084786047,0.46590904585782283,6.0
'thunderstorm wind shear',0.0645088237790737,0.40760922790068327,-0.3776048235498101,0.9662448449921898,6.0
'thunderstorm',0.09591309485068243,0.8457567066809328,0.04896687307916412,0.92807404457194,179.0
veryUnusualAndNeverUsedKeyword,-1.5413911953331885,1.0,-0.5254518633189633,1.0,1.0
