,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Berlin,Berlin,GPE,-0.00840336,0.01680672,de,59.50000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Baden-Württemberg,Baden-Württemberg,GPE,0.00747664,0.02242991,de,53.50000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
Portugal,Portugal,GPE,0.00000000,0.00000000,de,50.50000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Queensland,Queensland,GPE,-0.00791959,0.65418641,en,37.00000000,4103475-2,11523972,L,-16.56884000,142.48460000,OCEANIA,Australia,NAU
Nach,Nach,GPE,0.00000000,0.00000000,de,33.40000000,,624832,P,52.84240000,26.67450000,EUROPE,Belarus,WCE
Delhi,Delhi,GPE,0.10755202,0.45245805,en,31.60000000,4011371-1,1273294,P,28.65195000,77.23149000,ASIA,India,SAS
Stuttgart,Stuttgart,GPE,0.00000000,0.00000000,de,25.30000000,4058282-6,2825297,P,48.78232000,9.17702000,EUROPE,Germany,WCE
Spanien,Spanien,GPE,0.00000000,0.00000000,de,21.70000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Deutschland,Deutschland,GPE,0.00000000,0.00000000,de,21.40000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
India,India,GPE,0.08002452,0.48246943,en,18.70000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
Australia,Australia,GPE,0.13245503,0.78941188,en,18.40000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
Sabah,Sabah,GPE,0.17031746,0.62412698,en,17.50000000,4042495-9,412800,P,29.25722000,48.05722000,ASIA,Kuwait,ARP
California,California,GPE,0.12993151,0.81818493,en,14.60000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
US,US,GPE,-0.00825066,0.36605489,en,14.40000000,,12217089,L,8.62000000,-170.11000000,PACIFIC,,NPO
Sturm,Sturm,GPE,0.00000000,0.00000000,de,13.60000000,,6626207,T,-71.05000000,162.96667000,POLAR,Antarctica,EAN
Tamil Nadu,Tamil Nadu,GPE,0.02831152,0.71175964,en,13.20000000,5351481-6,1264527,P,13.08784000,80.27847000,ASIA,India,SAS
Sarawak,Sarawak,GPE,0.07132768,0.58192090,en,11.80000000,4051682-9,1733038,A,2.50000000,113.50000000,ASIA,Malaysia,SEA
Südeuropa,Südeuropa,GPE,0.00000000,0.00000000,de,11.80000000,4078023-5,9408658,L,41.34382000,-3.33984000,EUROPE-AFRICA,Spain,MED
Illinois,Illinois,GPE,-0.03982705,0.31536037,en,11.40000000,4109206-5,4896861,A,40.00032000,-89.25037000,NORTH-AMERICA,United States,ENA
Texas,Texas,GPE,0.00086967,0.45233908,en,11.20000000,4059594-8,12217092,L,28.92040000,-98.57720000,CENTRAL-AMERICA,United States,NCA
New South Wales,New South Wales,GPE,0.02953863,0.63499863,en,11.10000000,4058708-3,2147714,P,-33.86785000,151.20732000,OCEANIA,Australia,EAU
Putrajaya,Putrajaya,GPE,0.02443935,0.60654944,en,10.90000000,7653184-3,1996552,A,2.91667000,101.70000000,ASIA,Malaysia,SEA
North Island,North Island,LOC,-0.06750000,0.41500000,en,10.00000000,,3575292,P,17.32590000,-62.81055000,CENTRAL-AMERICA,St Kitts and Nevis,CAR
Brandenburg,Brandenburg,GPE,0.00000000,0.00000000,de,10.00000000,4007955-7,2945356,A,52.45905000,13.01582000,EUROPE,Germany,WCE
Los Angeles,Los Angeles,GPE,0.07246377,0.73309179,en,9.20000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Unwetter,Unwetter,GPE,0.02197802,0.06593407,de,9.10000000,,0,,,,,,
Pahang,Pahang,GPE,0.09539072,0.50747863,en,9.10000000,4301609-1,1733042,A,3.50000000,102.75000000,ASIA,Malaysia,SEA
U.S.,U.S.,GPE,0.15328972,0.55212288,en,8.70000000,,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Lübeck,Lübeck,GPE,0.00000000,0.00000000,de,8.20000000,4036483-5,2875601,P,53.86893000,10.68729000,EUROPE,Germany,NEU
Galway,Galway,GPE,-0.06097561,0.12195122,en,8.20000000,4086664-6,2964180,P,53.27245000,-9.05095000,EUROPE,Ireland,NEU
Arkansas,Arkansas,GPE,-0.00493612,0.63037166,en,8.20000000,4079828-8,12217090,L,35.00000000,-90.50000000,NORTH-AMERICA,United States,CNA
Brazil,Brazil,GPE,0.15521064,0.38832225,en,8.20000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Selangor,Selangor,GPE,0.18142361,0.61267361,en,8.00000000,4461681-8,1733037,A,3.16667000,101.50000000,ASIA,Malaysia,SEA
Victoria,Victoria,GPE,0.04813962,0.62811661,en,7.90000000,,241131,P,-4.62001000,55.45501000,INDIAN,Seychelles,EIO
Perak,Perak,GPE,0.21581197,0.62393162,en,7.80000000,4304095-0,1733041,A,5.00000000,101.00000000,ASIA,Malaysia,SEA
Houston,Houston,GPE,0.06111111,0.62478632,en,7.80000000,4095673-8,4699066,P,29.76328000,-95.36327000,NORTH-AMERICA,United States,CNA
Midwest,Midwest,LOC,0.11771498,0.60425804,en,7.60000000,4074909-5,12212748,L,43.61327000,-88.28917000,NORTH-AMERICA,United States,ENA
Southern California,Southern California,LOC,0.02143867,0.75645695,en,7.50000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Florida,Florida,GPE,0.04109589,0.25913242,en,7.30000000,4017585-6,12217087,L,26.50000000,-81.00000000,NORTH-AMERICA,United States,ENA
Doch,Doch,GPE,0.00000000,0.00000000,de,7.30000000,,709842,H,51.34739000,32.28598000,EUROPE,Ukraine,WCE
Berliner,Berliner,GPE,0.00000000,0.00000000,de,7.30000000,,6097522,L,45.47588000,-73.58948000,NORTH-AMERICA,Canada,ENA
Attica,Attica,GPE,0.10973174,0.57938546,en,7.30000000,,6692632,A,37.92037000,23.90350000,EUROPE-AFRICA,Greece,MED
Uttar Pradesh,Uttar Pradesh,GPE,0.04423516,0.34697489,en,7.30000000,4062226-5,1253626,A,27.25000000,80.75000000,ASIA,India,SAS
Noida,Noida,GPE,0.16438356,0.27397260,en,7.30000000,7669301-6,7279746,P,28.58000000,77.33000000,ASIA,India,SAS
Oklahoma,Oklahoma,GPE,0.12271689,0.70262557,en,7.30000000,4043423-0,4544349,P,35.46756000,-97.51643000,NORTH-AMERICA,United States,CNA
Phoenix,Phoenix,GPE,-0.22535211,0.39436620,en,7.10000000,4119970-4,5308655,P,33.44838000,-112.07404000,CENTRAL-AMERICA,United States,NCA
Minnesota,Minnesota,GPE,0.09702660,0.18701095,en,7.10000000,4101012-7,5037779,A,46.25024000,-94.25055000,NORTH-AMERICA,United States,CNA
New York,New York,GPE,0.14210116,0.47734700,en,6.80000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Malaysia,Malaysia,GPE,0.16688034,0.50790598,en,6.50000000,4037203-0,1733045,A,2.50000000,112.50000000,ASIA,Malaysia,SEA
Friedrichshain,Friedrichshain,GPE,0.00000000,0.00000000,de,6.40000000,,2924573,P,52.51559000,13.45482000,EUROPE,Germany,WCE
Hamburg,Hamburg,GPE,0.00000000,0.00000000,de,6.40000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
NRW,NRW,GPE,0.00000000,0.00000000,de,6.40000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Sachsen,Sachsen,GPE,0.00000000,0.00000000,de,6.40000000,4051181-9,2842565,A,52.00000000,11.73330000,EUROPE,Germany,WCE
Hagel,Hagel,GPE,0.00000000,0.00000000,de,6.40000000,,5968859,H,57.13837000,-97.26691000,NORTH-AMERICA,Canada,NEN
Indiana,Indiana,GPE,-0.03566168,0.19167118,en,6.40000000,4109219-3,12213487,L,39.74743000,-86.20614000,NORTH-AMERICA,United States,ENA
Kankakee,Kankakee,GPE,0.03254269,0.27217713,en,6.40000000,279570-X,4898182,P,41.12003000,-87.86115000,NORTH-AMERICA,United States,ENA
Sydney,Sydney,GPE,0.23593074,0.79754690,en,6.30000000,4058708-3,2147714,P,-33.86785000,151.20732000,OCEANIA,Australia,EAU
