,phrase,label,sentiment,subjectivity,language,count
Tuesday,Tuesday,DATE,,,en,13.8
Saturday,Saturday,DATE,,,en,13.500000000000002
two,two,CARDINAL,,,en,12.600000000000001
Monday,Monday,DATE,,,en,11.900000000000002
the weekend,the weekend,DATE,,,en,11.800000000000002
1pm,1pm,TIME,,,en,11.400000000000002
Friday,Friday,DATE,,,en,11.4
Thursday,Thursday,DATE,,,en,11.300000000000002
today,today,DATE,,,en,11.3
seven,seven,CARDINAL,,,en,8.600000000000001
October,October,DATE,,,en,8.6
Wednesday,Wednesday,DATE,,,en,7.800000000000001
first,first,ORDINAL,,,en,7.499999999999999
one,one,CARDINAL,,,en,7.300000000000002
2025,2025,DATE,,,en,7.1
morning,morning,TIME,,,en,6.6000000000000005
three,three,CARDINAL,,,en,6.500000000000001
this week,this week,DATE,,,en,5.900000000000001
2023,2023,DATE,,,en,5.5
afternoon,afternoon,TIME,,,en,4.8999999999999995
Americans,Americans,NORP,,,en,4.6
4pm,4pm,TIME,,,en,4.4
13,13,CARDINAL,,,en,4.3999999999999995
3pm,3pm,TIME,,,en,4.2
four,four,CARDINAL,,,en,4.1000000000000005
more than 400,more than 400,CARDINAL,,,en,4.0
Today,Today,DATE,,,en,3.7
the coming days,the coming days,DATE,,,en,3.7
Thousands,Thousands,CARDINAL,,,en,3.6999999999999997
the day,the day,DATE,,,en,3.6999999999999997
Nov 20,Nov 20,DATE,,,en,3.6999999999999997
Sunday,Sunday,DATE,,,en,3.5999999999999996
the second season,the second season,DATE,,,en,3.5
Dec 2,Dec 2,DATE,,,en,3.5
at least six,at least six,CARDINAL,,,en,3.4000000000000004
six,six,CARDINAL,,,en,3.1
five,five,CARDINAL,,,en,3.1
2,2,CARDINAL,,,en,3.0
this weekend,this weekend,DATE,,,en,2.9000000000000004
2024,2024,DATE,,,en,2.9
this month,this month,DATE,,,en,2.9
next week,next week,DATE,,,en,2.8000000000000003
evening,evening,TIME,,,en,2.8000000000000003
the next three hours,the next three hours,TIME,,,en,2.8
7pm,7pm,TIME,,,en,2.8
Italian,Italian,NORP,,,en,2.8
1.15bn,1.15bn,MONEY,,,en,2.8
nine,nine,CARDINAL,,,en,2.8
Nov 23,Nov 23,DATE,,,en,2.8
summer,summer,DATE,,,en,2.8
South Australian,South Australian,NORP,,,en,2.8
30-30,30-30,CARDINAL,,,en,2.8
2pm,2pm,TIME,,,en,2.8
noon,noon,TIME,,,en,2.8
yesterday,yesterday,DATE,,,en,2.7
tomorrow,tomorrow,DATE,,,en,2.7
Malaysians,Malaysians,NORP,,,en,2.6
310,310,CARDINAL,,,en,2.6
Malaysian,Malaysian,NORP,,,en,2.5
October 21,October 21,DATE,,,en,2.5
this morning,this morning,TIME,,,en,2.2
Nine,Nine,CARDINAL,,,en,2.0
night,night,TIME,,,en,1.9000000000000001
millions,millions,CARDINAL,,,en,1.9
"More than 10,000","More than 10,000",CARDINAL,,,en,1.9
Hundreds,Hundreds,CARDINAL,,,en,1.9
£870m,£870m,MONEY,,,en,1.9
several hours,several hours,TIME,,,en,1.9
10am on,10am on,TIME,,,en,1.9
Nov 24,Nov 24,DATE,,,en,1.9
Nov. 19,Nov. 19,DATE,,,en,1.9
early Monday morning,early Monday morning,TIME,,,en,1.9
this afternoon,this afternoon,TIME,,,en,1.9
16,16,CARDINAL,,,en,1.9
this evening,this evening,TIME,,,en,1.9
weekend,weekend,DATE,,,en,1.9
Dec 16,Dec 16,DATE,,,en,1.9
Australian,Australian,NORP,,,en,1.9
between Friday and Sunday,between Friday and Sunday,DATE,,,en,1.9
This week,This week,DATE,,,en,1.9
"More than 1,000","More than 1,000",CARDINAL,,,en,1.9
