,phrase,label,sentiment,subjectivity,language,count
Hier finden,Hier finden,PERSON,0.0,0.0,de,63.09999999999993
Lesen Sie jetzt,Lesen Sie jetzt,PERSON,0.0,0.0,de,34.299999999999976
Zur Merkliste hinzufügen,Zur Merkliste hinzufügen,PERSON,0.0,0.0,de,29.799999999999983
Der Deutsche Wetterdienst,Der Deutsche Wetterdienst,PERSON,0.0,0.0,de,28.899999999999984
PETALING JAYA,PETALING JAYA,PERSON,0.2555224867724867,0.5865740740740739,en,16.800000000000004
Manuel Hagel,Manuel Hagel,PERSON,0.012269938650306745,0.036809815950920234,de,16.300000000000004
Kate Hudson,Kate Hudson,PERSON,0.23822560015741828,0.529496261314443,en,7.700000000000001
Hugh Jackman,Hugh Jackman,PERSON,0.22720631641086184,0.5071297389479207,en,7.700000000000001
Lesen Sie jetzt „,Lesen Sie jetzt „,PERSON,0.0,0.0,de,6.4
Neil Diamond,Neil Diamond,PERSON,0.19131712606288875,0.45767277292701025,en,5.9
Berliner Nordosten,Berliner Nordosten,PERSON,0.0,0.0,de,5.5
Morgen einen Stromausfall gegeben,Morgen einen Stromausfall gegeben,PERSON,0.0,0.0,de,5.5
m Nordosten Berlins,m Nordosten Berlins,PERSON,0.0,0.0,de,5.5
Närrische Auszeichnung,Närrische Auszeichnung,PERSON,0.0,0.0,de,5.5
Cyclone Montha,Cyclone Montha,PERSON,0.02551020408163265,0.6360544217687073,en,4.9
Die Unwetterwarnung,Die Unwetterwarnung,PERSON,0.0,0.0,de,4.6
Deutsche Wetterdienst,Deutsche Wetterdienst,PERSON,0.0,0.0,de,4.6
Heftige Regenfälle,Heftige Regenfälle,PERSON,0.0,0.0,de,4.6
Claire Sardina,Claire Sardina,PERSON,0.17507575757575755,0.48909090909090913,en,4.0
Anthony Edwards,Anthony Edwards,PERSON,-0.013157894736842106,0.05701754385964913,en,3.8
neues Glatteis droht,neues Glatteis droht,PERSON,0.0,0.0,de,3.6999999999999997
Uttar Pradesh,Uttar Pradesh,PERSON,0.08108108108108109,0.40540540540540543,en,3.6999999999999997
Nasses Winterwetter bestimmt das Wochenende,Nasses Winterwetter bestimmt das Wochenende,PERSON,0.0,0.0,de,3.6999999999999997
größeren Stromausfall,größeren Stromausfall,PERSON,0.0,0.0,de,3.6999999999999997
Größerer Stromausfall,Größerer Stromausfall,PERSON,0.0,0.0,de,3.6999999999999997
bekommt Manuel,bekommt Manuel,PERSON,0.0,0.0,de,3.6999999999999997
Jake Tapper,Jake Tapper,PERSON,-0.16996996996996996,0.4258258258258258,en,3.6999999999999997
Es geht,Es geht,PERSON,0.0,0.0,de,3.6999999999999997
Cem Özdemir,Cem Özdemir,PERSON,0.0,0.0,de,3.6999999999999997
einige Landkreise Brandenburgs heraus,einige Landkreise Brandenburgs heraus,PERSON,0.0,0.0,de,3.6999999999999997
Vorübergehende Entspannung - aber,Vorübergehende Entspannung - aber,PERSON,0.0,0.0,de,3.6999999999999997
Eisregen macht,Eisregen macht,PERSON,0.0,0.0,de,3.6999999999999997
Unwetterwarnung aufgehoben,Unwetterwarnung aufgehoben,PERSON,0.0,0.0,de,3.6999999999999997
Blitzeinschlag bei Bolsonaro-Demo,Blitzeinschlag bei Bolsonaro-Demo,PERSON,0.0,0.0,de,3.6999999999999997
Das Winterwetter,Das Winterwetter,PERSON,0.0,0.0,de,3.6999999999999997
Wegen Glatteises,Wegen Glatteises,PERSON,0.0,0.0,de,3.6999999999999997
Jair Bolsonaro,Jair Bolsonaro,PERSON,0.0625,0.25,en,3.2
Donald Trump,Donald Trump,PERSON,0.09900731452455587,1.7007140369209337,en,2.9
Nach Angaben des,Nach Angaben des,PERSON,0.0,0.0,de,2.8
Lesen Sie jetzt „Unwetterwarnung,Lesen Sie jetzt „Unwetterwarnung,PERSON,0.0,0.0,de,2.8
Hagel bekommt Narrenschelle,Hagel bekommt Narrenschelle,PERSON,0.0,0.0,de,2.8
Einer aus unseren Reihen,Einer aus unseren Reihen,PERSON,0.0,0.0,de,2.8
Heftige Unwetter,Heftige Unwetter,PERSON,0.0,0.0,de,2.8
Berliner Flughafen lahm,Berliner Flughafen lahm,PERSON,0.0,0.0,de,2.8
Vier Tote bei Überschwemmungen,Vier Tote bei Überschwemmungen,PERSON,0.0,0.0,de,2.8
Deutschem Wetterdienst,Deutschem Wetterdienst,PERSON,0.0,0.0,de,2.8
Landeschef Manuel Hagel,Landeschef Manuel Hagel,PERSON,0.0,0.0,de,2.8
mit Schäden,mit Schäden,PERSON,0.0,0.0,de,2.8
Glatte Gehwege,Glatte Gehwege,PERSON,0.0,0.0,de,2.8
Negeri Sembilan,Negeri Sembilan,PERSON,0.1512896825396825,0.6334325396825397,en,2.8
