,Hazard,Mitigation,Impacts,Causes,Adaptation,Invalid
2025-09-23,1.0,0.0,0.0,0.0,0.0,0.0
2025-09-24,0.9,0.0,0.0,0.0,0.0,0.0
2025-09-26,0.0,0.0,0.0,0.0,0.0,1.0
2025-09-29,0.0,0.8,0.0,0.0,0.0,0.0
2025-10-02,0.0,0.0,0.8,0.0,0.0,1.0
2025-10-03,0.9,0.0,0.0,0.0,0.0,1.0
2025-10-04,0.0,0.0,0.0,0.0,0.0,0.8
2025-10-05,0.9,0.0,0.0,0.0,0.0,0.0
2025-10-06,0.9,0.0,0.0,0.0,0.0,0.0
2025-10-07,0.8,0.0,0.0,0.0,0.0,0.6
2025-10-08,0.0,0.0,1.4,0.0,0.0,0.0
2025-10-10,0.0,0.0,0.0,0.0,0.0,0.7
2025-10-13,0.0,0.0,0.8,0.0,0.0,3.2
2025-10-14,0.7,0.8,3.2,0.0,0.0,4.7
2025-10-15,0.0,0.0,0.0,0.0,0.0,2.6
2025-10-16,0.0,0.0,0.0,0.0,0.0,2.7
2025-10-17,0.8,0.0,0.8,0.0,0.0,1.8
2025-10-18,0.8,0.0,0.7,0.0,0.0,1.6
2025-10-19,1.6,0.0,0.0,1.5,0.0,0.0
2025-10-20,0.8,0.0,0.0,0.0,0.0,2.7
2025-10-21,0.0,0.0,0.0,0.0,0.0,5.3
2025-10-22,0.0,0.0,0.0,0.0,0.0,2.7
2025-10-23,0.0,0.0,0.0,0.0,0.0,2.7
2025-10-24,0.9,0.0,0.0,0.0,0.0,0.0
2025-10-25,2.2,0.0,0.8,0.0,0.0,3.9000000000000004
2025-10-26,1.8,0.0,0.0,0.0,0.0,1.4
2025-10-27,0.0,0.0,0.0,0.0,0.0,2.2
2025-10-28,0.0,0.0,0.0,0.0,0.0,1.6
2025-10-29,1.0,0.9,0.0,0.0,0.0,0.8
2025-10-30,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-31,2.7,0.0,1.8,0.0,0.0,2.3000000000000003
2025-11-01,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-02,0.9,0.8,0.0,0.0,0.0,2.1
2025-11-03,0.9,0.6,0.9,0.8,0.0,0.6
2025-11-04,1.0,0.0,0.8,1.6,0.0,0.0
2025-11-05,0.0,0.0,0.8,0.0,0.0,0.7
2025-11-06,0.9,0.0,0.7,0.0,0.0,4.5
2025-11-07,0.0,1.0,0.6,1.2999999999999998,0.0,0.9
2025-11-08,0.9,0.0,1.7999999999999998,0.0,0.0,0.0
2025-11-09,0.0,0.0,0.6,0.9,0.0,0.9
2025-11-10,0.9,0.0,0.8,0.6,0.0,0.0
2025-11-11,0.9,0.0,0.7,0.0,0.0,1.6
2025-11-12,0.0,0.0,0.0,0.7,0.0,1.8
2025-11-13,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-14,0.0,0.9,0.0,0.0,1.7000000000000002,0.0
2025-11-15,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-16,0.0,0.0,0.0,0.0,0.9,0.0
2025-11-17,0.0,0.0,0.0,0.0,0.9,0.0
2025-11-18,0.9,0.0,0.8,0.0,0.0,0.0
2025-11-19,0.0,2.7,0.0,0.0,0.0,0.0
2025-11-20,1.8,0.9,0.8,0.0,0.9,0.0
2025-11-21,1.7000000000000002,1.6,0.0,0.0,0.0,0.0
2025-11-22,0.7,0.0,0.0,0.0,0.0,0.0
2025-11-23,2.6,0.0,0.0,0.0,0.0,0.0
2025-11-24,4.5,0.9,0.0,0.0,0.0,0.0
2025-11-25,3.6,0.0,1.7000000000000002,0.0,0.0,0.0
2025-11-26,1.5,0.0,0.0,0.0,0.0,0.0
2025-11-27,0.0,0.0,0.0,0.0,0.0,0.7
2025-11-28,1.8,0.0,0.0,0.0,0.0,0.0
2025-11-29,0.8,0.0,0.0,0.0,0.0,0.0
2025-11-30,1.6,0.0,0.0,0.0,0.0,0.0
2025-12-01,1.8,0.0,0.7,0.0,0.9,0.0
2025-12-02,1.8,1.6,0.0,0.0,0.9,0.8
2025-12-03,2.7,0.0,0.0,0.0,0.9,0.7
2025-12-04,0.7,0.0,0.0,0.0,0.0,0.7
2025-12-05,0.7,0.0,0.0,0.0,0.0,0.7
2025-12-06,0.9,0.9,0.0,0.0,0.0,0.0
2025-12-07,0.8,0.0,0.0,0.0,1.8,0.0
2025-12-08,0.0,0.0,0.0,0.0,0.9,0.0
2025-12-09,0.9,0.0,0.0,0.0,0.9,1.4
2025-12-11,3.5,0.0,0.0,0.0,0.0,0.0
2025-12-12,1.8,0.0,0.0,0.0,0.9,0.0
2025-12-13,0.9,0.9,0.0,0.0,0.0,0.7
2025-12-14,0.7,0.0,0.0,0.0,0.0,0.0
2025-12-15,1.6,0.9,0.7,0.0,0.0,0.0
2025-12-16,0.7,0.9,0.0,0.0,0.0,0.7
2025-12-17,0.9,0.9,0.0,0.0,0.0,0.0
2025-12-18,2.5,1.8,0.0,0.0,0.0,0.0
2025-12-19,0.9,0.9,0.0,0.0,0.9,1.5
2025-12-20,0.0,0.0,0.0,0.0,0.0,0.7
2025-12-21,0.0,0.0,0.9,0.0,0.0,0.7
2025-12-22,0.9,0.0,0.0,0.0,0.9,0.8
2025-12-23,0.7,0.9,0.0,0.0,0.0,2.0999999999999996
2025-12-24,1.8,0.0,0.0,0.0,0.0,1.4
2025-12-25,2.3,0.0,0.9,0.0,0.0,0.0
2025-12-26,3.6,0.0,0.0,0.0,0.9,0.0
2025-12-27,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-28,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-29,1.8,0.0,0.0,0.0,0.0,2.8
2025-12-30,4.5,0.0,0.9,0.0,0.0,0.7
2025-12-31,3.2,0.0,0.0,0.9,0.0,0.7
2026-01-01,0.9,0.0,0.0,0.9,0.0,0.0
2026-01-02,1.8,2.6,0.0,0.0,0.0,2.2
2026-01-03,4.3,0.0,0.0,0.0,0.0,0.0
2026-01-04,0.8,0.0,0.0,0.0,0.0,0.0
2026-01-05,0.0,0.0,0.0,0.0,0.0,0.7
2026-01-06,0.9,0.0,0.0,0.0,0.0,1.4
2026-01-07,4.2,0.0,0.0,0.0,0.0,0.0
2026-01-08,6.300000000000001,2.7,0.0,0.0,0.0,2.0999999999999996
2026-01-09,4.5,1.8,0.0,0.0,0.0,0.7
2026-01-10,1.8,1.8,0.0,0.0,0.0,0.7
2026-01-11,0.0,0.0,0.0,0.0,0.0,2.8
2026-01-12,5.4,4.5,0.0,0.0,0.0,0.7
2026-01-13,1.8,1.6,0.0,0.0,0.0,0.7
2026-01-14,0.9,0.9,0.0,0.9,0.0,0.7
2026-01-15,5.2,1.8,0.0,0.0,0.0,0.7
2026-01-16,0.9,0.0,0.0,0.9,0.0,0.0
2026-01-17,1.8,0.0,0.0,0.9,0.0,0.7
2026-01-18,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-19,2.7,0.9,0.0,0.0,0.0,0.0
2026-01-20,2.7,0.0,0.0,0.0,0.0,0.0
2026-01-21,1.8,0.0,0.7,0.0,0.0,0.0
2026-01-22,2.6,0.0,0.9,0.0,0.0,0.0
2026-01-23,3.4000000000000004,0.9,0.0,0.0,0.0,0.7
2026-01-24,3.5,0.0,6.300000000000001,0.0,0.0,0.0
2026-01-25,3.5,0.9,4.5,0.0,0.0,0.0
2026-01-26,3.4000000000000004,0.9,7.800000000000002,0.0,0.0,0.0
2026-01-27,3.5,0.0,0.0,0.0,0.0,0.0
2026-01-28,3.6,0.0,0.8,0.0,0.0,0.8
2026-01-29,1.8,0.0,0.0,0.0,0.0,0.0
2026-01-30,2.7,0.0,0.8,0.0,0.0,0.7
2026-01-31,2.7,0.0,0.0,0.0,0.0,0.0
2026-02-01,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-02,2.7,0.0,0.0,0.0,0.0,0.0
2026-02-03,4.5,0.0,0.0,0.0,0.0,0.0
2026-02-04,4.5,0.9,0.0,0.0,0.0,0.0
2026-02-05,9.900000000000002,3.6,11.700000000000003,0.0,0.0,0.0
2026-02-06,9.000000000000002,14.400000000000004,9.000000000000002,0.0,0.0,0.0
2026-02-07,2.7,0.0,0.9,0.0,0.0,0.0
2026-02-08,1.8,0.0,0.0,0.0,0.0,0.0
2026-02-10,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-11,2.5,1.8,0.0,0.0,0.0,0.7
2026-02-12,1.8,0.0,0.0,0.0,0.0,0.0
2026-02-13,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-14,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-15,4.5,0.0,0.0,0.0,0.0,0.0
2026-02-16,2.7,0.0,0.0,0.0,0.0,0.7
2026-02-17,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-18,2.7,0.0,0.0,0.0,0.0,0.0
