keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Gewitter',de,Hazard,#ff0000,#ff0000,3,0.3836993047622572
'Unwetter',de,Hazard,#ff0000,#ff0000,3,0.3630742652569981
'Hagel',de,Hazard,#e67e22,#e67e22,3,0.337464223568408
'Stromausfall',de,Impacts,#4287f5,#4287f5,3,0.2795665335652179
'thunderstorm',en,Hazard,#ff0000,#ff0000,3,0.1890701441759929
'thunderstorm lightning',en,Hazard,#a89216,#637939,3,0.1817229667534646
'Gewitterwarnung',de,Mitigation,#00ff00,#00ff00,1,0.1688125227458443
'Aufwind',de,Causes,#8e44ad,#8e44ad,3,0.1614354151978747
'hailstorm',en,Hazard,#e67e22,#756bb1,2,0.1595612959483341
'hail impact resistant roofing',en,Mitigation,#2ecc71,#6b6ecf,1,0.1333990520712087
'Blitzschutz',de,Adaptation,#0000ff,#0000ff,1,0.1288470455057866
'Hagelschaden am Auto',de,Impacts,#2980b9,#2980b9,2,0.127973779568291
'Unwetterwarnung',de,Mitigation,#33cc33,#33cc33,2,0.1213190454312454
'thunderstorm power outages',en,Impacts,#4287f5,#7b4173,1,0.1083019754705977
'thunderstorm early warning',en,Mitigation,#33cc33,#3182bd,2,0.1049702716345188
'lightning and thunder',en,Hazard,#ff0000,#ff0000,3,0.1029989758238915
'thunderstorm warning',en,Mitigation,#00ff00,#00ff00,3,0.1016974283183387
'hail supercells',en,Causes,#8e44ad,#bdb76b,1,0.0949346446590533
'thunderstorm tornado',en,Hazard,#a89216,#393b79,2,0.0917983960870421
'hail swath',en,Hazard,#e67e22,#ff6f61,1,0.0902644711412146
'Blitzableiter',de,Adaptation,#0000ff,#0000ff,1,0.0888856174568679
'Blitzeinschlag',de,Impacts,#ffff00,#ffff00,1,0.0888678232086308
'hail crop damage',en,Impacts,#2980b9,#ff7f0e,1,0.0887656307330487
'lightning rod',en,Adaptation,#0000ff,#0000ff,3,0.0869556284901159
'thunderstorm wind damage',en,Impacts,#4287f5,#8c6d31,2,0.0827184060181556
'Brand durch Blitzeinschlag',de,Impacts,#ffff00,#ffff00,1,0.0817184161096025
'hail roof damage',en,Impacts,#2980b9,#e6550d,1,0.0814181221455559
'large hail',en,Hazard,#e67e22,#d62728,3,0.0787514553417551
'thunderstorm low pressure',en,Causes,#9e3215,#2ca02c,1,0.0778229129448924
'thunderstorm wind shear',en,Causes,#9e3215,#31a354,1,0.077593504347148
'hail insurance',en,Mitigation,#22cc44,#1f77b4,2,0.0762106761914233
'lightning fire',en,Impacts,#ffff00,#ffff00,3,0.0716706026470141
'thunderstorm squall line',en,Hazard,#a89216,#636363,1,0.0598622414066316
'hail freezing level',en,Causes,#8e44ad,#17a2b8,1,0.0564705369454563
'thunderstorm flooding',en,Impacts,#4287f5,#9467bd,1,0.0483606368136621
'hail nets',en,Mitigation,#2ecc71,#8c564b,1,0.0482717169402733
'thunderstorm cell',en,Causes,#00ffff,#00ffff,1,0.045516886643012
'Hagelsturm',de,Hazard,#e67e22,#e67e22,1,0.0434478716455723
'thunderstorm convection',en,Causes,#9e3215,#17becf,1,0.0420421309433513
'hail vehicle shelters',en,Mitigation,#2ecc71,#e377c2,1,0.0312060517414505
'hail dented vehicles',en,Impacts,#2980b9,#843c39,1,0.0294196691327708
'hail strong updrafts',en,Causes,#8e44ad,#bcbd22,1,0.0267008660771445
'thunderstorm flood barriers',en,Mitigation,#33cc33,#7f7f7f,1,0.0252281835432538
'anvil clouds',en,Causes,#00ffff,#00ffff,1,0.0227639776399196
'Dachschaden durch Hagel',de,Impacts,#2980b9,#2980b9,1,0.0128230835312499
'thunderstorm building codes',en,Mitigation,#33cc33,#9c9ede,1,0.0123079789858797
'Konvektion',de,Causes,#00ffff,#00ffff,1,0.0102756466263378
'Grosshagel',de,Hazard,#e67e22,#e67e22,1,0.0072543296139445
'Superzelle',de,Causes,#8e44ad,#8e44ad,1,0.0062616339319382
'Hagelschaeden',de,Impacts,#2980b9,#2980b9,1,0.0061661801718528
'Nullgradgrenze',de,Causes,#8e44ad,#8e44ad,1,0.004922757268311
'Windscherung',de,Causes,#9e3215,#9e3215,1,0.0041894467030615
'Hagelwarnung',de,Mitigation,#2ecc71,#2ecc71,1,0.003218784588333
'Ambosswolke',de,Causes,#00ffff,#00ffff,1,0.0028448351427232
